subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,,parent,"a nice summer day, huh ?",,,,,,,,,
43,5,,parent,sunny &xxx .,,,,,,,,,
43,5,,child,more water ?,,,,,,water,,water,
43,5,,parent,huh ?,,,,,,,,,
43,5,,child,some more water &xxx .,,,,,,water,,water,
43,5,,parent,let me see .,,,,,,,,,
43,5,,parent,&ah !,,,,,,,,,
43,5,,parent,you're right .,,,,,,,,,
43,5,,child,yes .,,,,,,,,,
43,5,,child,"yes, more water in &xxx .",,,,,,water,,water,
43,5,,parent,"okay, I think that's all the water .",,,,,,water,,water,
43,5,,child,no water .,,,,,,water,,water,
43,5,0:19:11,parent,no water .,shake,no,,Reinforce,,water,,water,
43,5,,child,no more water .,,,,,,water,,water,
43,5,0:19:15,parent,no .,shake,no,,Reinforce,,,,,
43,5,,child,I &xxx water wash me off .,,,,,,water,,water,
43,5,,child,can &xxx .,,,,,,,,,
43,5,,child,the +...,,,,,,,,,
43,5,,child,there is some more water .,,,,,,water,,water,
43,5,,parent,I heard that one .,,,,,,,,,
43,5,,parent,"okay, let go .",,,,,,,,,
43,5,,parent,let's see .,,,,,,,,,
43,5,,child,there is some more water now .,,,,,,water,,water,
43,5,,child,there more water .,,,,,,water,,water,
43,5,,parent,&oh .,,,,,,,,,
43,5,,parent,"are you hungry, Lincoln ?",,,,,,child,,child,
43,5,,parent,you want any water+melon ?,,,,,,watermelon,,watermelon,
43,5,,parent,bring some water+melon outside ?,,,,,,watermelon,,watermelon,
43,5,,child,can have drink ?,,,,,,,,,
43,5,,parent,huh ?,,,,,,,,,
43,5,,child,can I have drink ?,,,,,,,,,
43,5,,parent,what ?,,,,,,,,,
43,5,,parent,the hose ?,,,,,,hose,,hose,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,okay .,,,,,,,,,
43,5,0:20:05,child,,,,,,"""it"" refers to hose",,,,
43,5,0:20:05,parent,I'll go turn it on a little bit .,point. Point,hose. Grass,hose. Grass,Disambiguate,"""it"" refers to hose",,hose; grass,hose; grass,
43,5,,parent,put it in the # grass there .,point~,hose,hose,Disambiguate,,grass,hose ,hose; grass,
43,5,,parent,I'm going to turn it on so don't lift it up or it'll squirt you .,,,,,,,,,
43,5,,child,the watering+can Mom .,,,,,,watering_can; mom,,watering_can; mom,
43,5,,parent,is it on ?,$,,,,,,,,
43,5,,child,&xxx water &xxx .,,,,,,water,,water,
43,5,,child,&xxx plant .,,,,,,plant,,plant,
43,5,,child,how_about on ?,,,,,,,,,
43,5,,parent,was the # was the # was the plant thirsty ?,,,,,,plant,,plant,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,,point,area of garden where seeds are planted,area of garden where seeds are planted,Only Gesture,,,,,
43,5,0:21:02,parent,do you remember where we planted the seeds for the sunflowers ?,point~,area of garden where seeds are planted,area of garden where seeds are planted,Reinforce,,seed; sunflower,,seed; sunflower,
43,5,,parent,can you go water the seeds ?,,,,,,seed ,,seed ,
43,5,0:21:11,parent,"yeah, you put some there but remember over there on the fence ?",point.continuous point,location in yard. Location in yard,location in yard. Location in yard,Disambiguate,,fence,,fence,
43,5,,parent,we ## some more we planted &xxx .,,,,,,,,,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,"okay, I'll show you .",,,,,,,,,
43,5,,parent,come here .,,,,,,,,,
43,5,,parent,"&oh, forgetmenots .",,,,,,forgetmenot,,forgetmenot,
43,5,0:21:21,parent,those are down there .,point,forgetmenots,forgetmenots,Disambiguate,,,forgetmenot,forgetmenot,
43,5,,parent,we'll water the forgetmenots .,,,,,,forgetmenot,,forgetmenot,
43,5,,parent,I'll show you .,,,,,,,,,
43,5,0:21:31,parent,come here .,hold,take hand,hand,Add,,,,,
